Date,Status,Home Team,Away Team,Home Score,Away Score
Upcoming,20:00,Real Betis,Real Sociedad,,
Upcoming,20/09/25,Girona,Levante,,
Upcoming,20/09/25,Real Madrid,Espanyol,,
Upcoming,20/09/25,Alavés,Sevilla,,
Upcoming,20/09/25,Villarreal,Osasuna,,
Upcoming,20/09/25,Valencia,Athletic Club,,
Upcoming,21/09/25,Rayo Vallecano,Celta,,
Upcoming,21/09/25,Mallorca,Atl. Madrid,,
Upcoming,21/09/25,Elche,Real Oviedo,,
Upcoming,21/09/25,Barcelona,Getafe,,
