Date,Status,Home Team,Away Team,Home Score,Away Score
Upcoming,19:45,Lecce,Cagliari,,
Upcoming,20/09/25,Bologna,Genoa,,
Upcoming,20/09/25,Verona,Juventus,,
Upcoming,20/09/25,Udinese,Milan,,
Upcoming,21/09/25,Lazio,Roma,,
Upcoming,21/09/25,Cremonese,Parma,,
Upcoming,21/09/25,Torino,Atalanta,,
Upcoming,21/09/25,Fiorentina,Como,,
Upcoming,21/09/25,Inter,Sassuolo,,
Upcoming,22/09/25,Napoli,Pisa,,
