Date,Status,Home Team,Away Team,Home Score,Away Score
Upcoming,19:30,Stuttgart,St. Pauli,,
Upcoming,20/09/25,Augsburg,Mainz 05,,
Upcoming,20/09/25,HSV,Heidenheim,,
Upcoming,20/09/25,Bremen,Freiburg,,
Upcoming,20/09/25,Hoffenheim,Bayern,,
Upcoming,20/09/25,Leipzig,Köln,,
Upcoming,21/09/25,Frankfurt,Union Berlin,,
Upcoming,21/09/25,Leverkusen,M'gladbach,,
Upcoming,21/09/25,Dortmund,Wolfsburg,,
,,,,,
