Date,Status,Home Team,Away Team,Home Score,Away Score
Upcoming,19:45,Lyon,Angers,,
Upcoming,20/09/25,Nantes,Rennes,,
Upcoming,20/09/25,Brest,Nice,,
Upcoming,20/09/25,Lens,Lille,,
Upcoming,21/09/25,Paris,Strasbourg,,
Upcoming,21/09/25,AS Monaco,Metz,,
Upcoming,21/09/25,Auxerre,Toulouse,,
Upcoming,21/09/25,Le Havre,Lorient,,
Upcoming,21/09/25,Marseille,PSG,,
,,,,,
